"SYMBOL","СTO_1","СTO_2","СTO_3","СTO_4","СTO_5","СTO_6","СTO_7","СTO_8","СTO_9","СTO_10"
"RAB21",3771.92361311143,3669.41314311393,3564.75171781302,3510.48810036809,3773.13185242082,3669.13633739195,3504.99621959161,3608.68460527967,3591.64573789358,3529.5114424213
"RAB22A",1740.42341796125,1869.65329572523,1788.42454999781,1671.58323238518,1840.72492717768,1800.8623605698,1702.30937701773,1724.84677106932,1843.20608562338,1820.62858906332
"RAB23",256.548874633005,239.731653923206,240.960763586587,212.821445076085,214.8010690889,223.708614437974,244.668415145911,278.7434165949,220.228226296724,244.6442721185
"RAB27A",728.457407339204,1036.63213822126,1172.23628199819,701.298804220929,1452.67743292665,884.91942103121,940.81123729636,746.432810157899,1282.02514777765,943.2149988521
"RAB28",768.730892917349,700.001578497207,726.687254127108,699.940988639985,708.992026399523,684.883217605219,740.820851639873,711.036769477265,732.040176002167,707.177601927394
"RAB2A",6097.89884135905,6414.01481775815,6418.10900367355,5734.1350164463,6180.0142913287,6339.36978928405,5984.78270326713,5845.11454246867,6240.88285976372,6158.45159618738
"RAB30",1260.78798124614,1162.64344245689,1254.00594711372,1208.28943210951,1151.77114697059,1161.62869660308,1318.13116243764,1195.42944432746,1208.20914297515,1179.09742106519
"RAB31",3367.3287313716,4172.39690893322,4296.33042348987,3567.12075035964,4090.76091496881,4022.52842559901,4443.61757529144,4166.78168489276,4404.49302240393,3926.22802825277
"RAB32",238.898445897645,445.963058230834,411.025838896497,343.787464998885,303.849146700264,306.999913630021,389.422509651764,304.158722018282,322.738668714182,382.446909271978
"RAB33B",400.799394281729,475.575122442953,448.696088853137,398.932475994386,421.989136287221,425.709879427369,430.947412555461,400.012740219506,441.011140010123,437.090168621177
"RAB35",2573.68671185607,2751.65668153939,2607.68126843243,2565.38267360134,2703.17839428983,2667.90215763548,2600.12531289061,2522.50862673474,2497.24264141958,2561.05196442405
"RAB36",209.782228892274,212.402217742194,212.57458290809,214.356560743666,214.556369724263,221.236762994389,212.44464189691,212.194113923575,210.215796003446,212.112944808283
"RAB3A",313.229173243128,305.93946448107,308.454041999989,323.770934394964,315.041175105721,339.53690272666,310.907538768918,324.548161443595,323.284088377569,299.853412017024
"RAB3D",892.415152984432,666.743313270206,688.16511047639,804.637555664482,725.654712080752,761.369621394872,782.498757943309,761.245663061622,909.908977818356,787.763637489183
"RAB3GAP1",3065.18815313117,3013.78103919727,3059.15274515326,3014.68605557723,3089.68537315239,3135.36872705022,3006.2331402597,3058.69419452265,3095.53821374052,3009.80407744908
"RAB3GAP2",1682.65416895654,1674.24494262022,1612.76908435383,1660.38276074224,1705.4257861926,1711.73062949921,1676.79100978408,1644.36296552727,1665.62494042881,1667.55636935319
"RAB3IL1",515.256065524639,580.939113082804,531.875582316272,544.85115283043,516.549026049245,519.116627194516,560.507790812708,588.789367578149,528.915702363487,529.778274363529
"RAB40B",1055.8870947942,525.377769632576,759.840762698258,1137.81350444369,966.624549663219,841.75621842703,927.848615956951,706.416652961323,534.254001554008,682.991505895433
"RAB40C",2334.92228863659,2228.97304407033,2316.23118682882,2129.06528285935,2218.74999864798,2187.09578809326,2131.30389699263,2103.93806520226,2353.91732766148,2151.31018006038
"RAB4A",1368.94547815483,1347.37331457147,1281.78602930268,1322.73765390117,1370.9857801699,1354.09139422785,1336.29217299425,1244.45228914676,1306.03685059618,1308.69622274655
"RAB5A",2517.48740733298,2430.93325545798,2553.74254918363,2460.89316008832,2562.20590049941,2603.29508669858,2507.99003136254,2489.62190699356,2604.861752226,2481.48683626839
"RAB5B",1197.79855712946,1138.44925012236,1194.01987083031,1126.8172642026,1230.36969868088,1173.20758896932,1100.20153437112,1150.19921096035,1150.51792681533,1147.03625830159
"RAB5C",4621.26914812693,4696.65427563926,5219.96488028641,4739.30431063837,4960.50795445794,5122.33381962757,4896.05125502153,4830.63531760278,4974.53379720072,4775.33094675222
"RAB6A",7590.64390453115,8115.75701745084,7597.37878909835,7597.71978294046,7143.41608330734,7506.62102598282,7456.00449177114,7673.80084688997,7287.37868327944,7436.8313922456
"RAB6B",1112.57667750657,1033.16831913475,1412.19662728005,3422.59607433798,1018.09704756468,1631.26042143053,1813.20112770454,1833.53620287175,1076.42523815438,1020.50533754483
"RAB7A",16467.8246477033,15478.5409732713,14824.0079403603,15853.8486786471,15054.1755542552,15458.5194063942,15430.2957705269,15153.4062632065,14685.1847119474,15249.1896093289
"RAB8A",630.712961375281,553.002950633628,554.254295621855,623.940945300901,604.368717811655,603.039893729643,570.884937599752,647.623059721372,598.184867432979,625.004799831945
"RAB8B",1742.58767766692,2221.20284371666,2014.23314687697,1594.61467104518,2014.81280744614,1965.57106802978,1906.05280480924,1846.37909125625,1937.855246718,1823.74599544489
"RAB9A",800.876773471303,807.335418187431,859.747449994599,741.156716283108,834.467617337461,820.274110360643,831.598082952745,814.256455956345,805.800548900897,833.269114950789
"RABAC1",3619.79175272461,3648.82899447352,3818.4416442933,3725.44761449678,3798.85413694666,3918.43411407928,3873.75158805483,3805.60509667928,3768.93878545376,4037.36088026313
"RABEP1",4185.81562106488,4148.96470261734,4402.63145897927,4521.60886898007,4349.60036581264,4531.38863252749,4379.98977226932,4590.6539822437,4264.25295101752,4103.2088145011
"RABEP2",825.508096854628,764.334044674623,818.01223598681,792.267663669278,821.536019491136,715.353879497982,776.792119460668,800.584103992786,797.361917621265,817.112979535801
"RABEPK",662.867352468782,741.527374208558,674.567501199894,717.348724304505,641.778693860771,632.734737502315,731.371685602691,690.544778634301,662.993853873649,707.086517284192
"RABGAP1",3467.43368014313,3225.09264517026,3191.17629800582,3466.04204018036,3333.44962253688,3278.44255421501,3113.71886030567,3472.00550487077,3362.06401524711,3183.04911097728
"RABGAP1L",1947.49925994756,1802.1941236886,2178.77180143233,1971.16191769528,2346.33982234171,2209.36287992433,2119.90700060408,2248.84658188036,2077.57270182607,2165.95253594753
"RABGEF1",89.3192570132542,89.6397322238999,88.477322505355,90.0812095311675,90.2222059692291,90.8039687236673,89.3414455317318,91.0754347591875,89.1753950964503,89.4968619254829
"RABGGTA",1314.35266450405,1359.88032733188,1354.88707997541,1360.97774754229,1355.62159646927,1328.82936562554,1319.27884543906,1291.14406652129,1340.41248386053,1353.78773580721
"RABGGTB",2266.05918466493,2302.01136645782,2075.96091892529,2268.26916355389,2333.33073830134,2120.79542641633,2330.2477630472,2357.98395588756,2490.65611186691,2322.01190965777
"RABIF",334.935488491947,386.165918546228,400.94806788598,313.072712699081,359.076436382485,388.745010093255,387.614551124264,363.574821841286,339.239963880313,349.776566907015
"RABL3",941.225540763048,866.91824056047,916.701511984282,878.439134126576,903.533269611271,898.803120344499,930.234853986919,807.461320721242,866.997712789043,863.711958895414
"RABL6",8012.80530144761,7884.90405881313,7903.83234442458,8368.14459844902,7827.74660763993,7474.20426870529,7945.73306611764,8285.97688490183,8403.23072331046,8110.05209080228
"RAC1",13134.8523120375,13106.512434333,12766.745699429,12227.8547381904,12745.7150073373,12500.4767453649,12975.8853019339,12787.9065466478,12651.695894684,12684.7661009696
"RAC3",153.495987702043,201.384381512245,144.12538954476,165.151895964977,133.321785738722,147.535472398144,146.514323259815,166.731182451288,135.091063378753,139.32279588405
"RACGAP1",414.235392905091,413.997585840306,303.776608820293,421.379407970632,307.694384620508,420.630375423354,401.984160474288,401.492963860691,317.476389449722,380.934809897287
"RAD1",901.376143077568,906.838388555441,894.480093057508,866.066280415076,846.061254676077,888.040572448663,957.776174082145,889.078923611371,888.392014772278,923.06280793097
"RAD17",916.999513211425,892.219900021072,931.47099368421,903.943087579603,908.017316137218,894.515689784773,910.939418024143,911.675491874089,927.324123927279,893.094326838141
"RAD21",7365.97033424448,7291.64039789307,7184.08866152597,7289.41965083499,7026.25015397694,7377.01140512566,7150.06317195265,7100.60316858939,7155.40268373835,7012.44435023667
"RAD23A",7834.18100356102,7513.6719528826,6963.10495380425,8314.84981701983,7083.10524353074,6702.15661193461,7619.67155321967,8418.01313356068,7395.85151791001,7392.87118709461
