"SYMBOL","СTO_1","СTO_2","СTO_3","СTO_4","СTO_5","СTO_6","СTO_7","СTO_8","СTO_9","СTO_10"
"MIR1972-1","0","4","0","0","4","0","0","0","0","0"
"MIR1972-2","0","0","0","0","0","1","0","0","0","0"
"MIR1976","0","0","0","0","0","0","0","0","0","0"
"MIR199A1","0","0","0","0","1","0","0","0","0","0"
"MIR199A2","0","0","0","0","0","0","0","0","1","0"
"MIR199B","0","0","0","0","0","0","0","0","0","0"
"MIR200A","1","2","0","4","5","0","0","2","7","0"
"MIR200B","1","1","2","3","3","0","0","0","5","0"
"MIR200C","0","0","0","0","0","0","0","0","0","0"
"MIR200CHG","76","48","108","82","131","4","25","13","77","32"
"MIR202HG","0","0","1","0","0","0","0","0","0","0"
"MIR203A","0","1","0","3","0","0","0","0","0","0"
"MIR204","0","0","0","0","0","0","0","0","0","0"
"MIR2052HG","20","9","7","26","4","6","16","7","0","9"
"MIR2053","0","0","0","0","0","0","0","0","0","0"
"MIR205HG","1669","2893","2","973","25","27","1465","1528","8","608"
"MIR206","0","0","0","0","0","0","0","0","0","0"
"MIR208A","0","0","0","0","0","0","0","0","0","0"
"MIR208B","0","0","0","0","0","0","0","0","0","0"
